"Sąskaitos Nr.","","Data","Gavėjas","Paaiškinimai","Suma","Valiuta","D/K","Įrašo Nr.","Kodas","Įmokos kodas","Dok. Nr.","Kliento kodas mokėtojo IS","Kliento kodas","Pradinis mokėtojas","Galutinis gavėjas",
"LT444555666777888999","10","2024-01-01","","Likutis pradžiai","350.75","EUR","K","","AS","","",
"LT444555666777888999","20","2024-01-02","UAB TECHNOLOGIJŲ SPRENDIMAI","Programinės įrangos licencija","199.99","EUR","D","2024010201123456","MK","","","",
"LT444555666777888999","20","2024-01-04","SWEDBANK LIZINGAS","Automobilio lizingo įmoka","245.60","EUR","D","2024010402345678","MK","","","",
"LT444555666777888999","20","2024-01-07","UAB DIGITAL MARKETING","Rinkodaros paslaugos","350.00","EUR","D","2024010703456789","MK","","","",
"LT444555666777888999","20","2024-01-10","UAB INŽINERIJA","Projektavimo darbai","875.00","EUR","K","2024011004567890","MK","","","",
"LT444555666777888999","20","2024-01-12","LUMINOR BANKAS","Paskolos palūkanos","87.35","EUR","D","2024011205678901","MK","","","",
"LT444555666777888999","20","2024-01-15","LIETUVOS DRAUDIMAS","Transporto priemonės draudimas","180.00","EUR","D","2024011506789012","MK","","","",
"LT444555666777888999","20","2024-01-16","UAB STATYBOS EKSPERTAI","Konsultacijos","1250.00","EUR","K","2024011607890123","MK","","","",
"LT444555666777888999","20","2024-01-18","EVALDAS SABONIS","Projekto koordinavimas","400.00","EUR","D","2024011808901234","MK","","","",
"LT444555666777888999","20","2024-01-20","UAB APSKAITOS CENTRAS","Buhalterinės paslaugos","150.00","EUR","D","2024012009012345","MK","","","",
"LT444555666777888999","20","2024-01-22","UAB VERSLO KONSULTACIJOS","Teisinės paslaugos","275.00","EUR","D","2024012200123456","MK","","","",
"LT444555666777888999","20","2024-01-25","VILNIAUS MIESTO SAVIVALDYBĖ","Žemės mokestis","68.50","EUR","D","2024012501234567","MK","","","",
"LT444555666777888999","20","2024-01-28","UAB SERVERIŲ NUOMA","Serverių nuoma","99.00","EUR","D","2024012802345678","MK","","","",
"LT444555666777888999","20","2024-01-30","UAB PROJEKTAVIMAS PLIUS","Architektūros projektas","2000.00","EUR","K","2024013003456789","MK","","","",
"LT444555666777888999","20","2024-02-01","CIRCLE K LIETUVA","Kuro išlaidos","85.45","EUR","D","2024020104567890","MK","","","",
"LT444555666777888999","20","2024-02-03","UAB BIURO BALDAI","Biuro įranga","570.00","EUR","D","2024020305678901","MK","","","",
"LT444555666777888999","20","2024-02-05","UAB REKLAMOS SPRENDIMAI","Marketingo kampanija","450.00","EUR","D","2024020506789012","MK","","","",
"LT444555666777888999","20","2024-02-08","UAB VIZUALINIAI PROJEKTAI","Projekto vizualizacijos","1800.00","EUR","K","2024020807890123","MK","","","",
"LT444555666777888999","20","2024-02-10","UAB IT KONSULTACIJOS","Techninė pagalba","120.00","EUR","D","2024021008901234","MK","","","",
"LT444555666777888999","20","2024-02-12","SEB GYVYBĖS DRAUDIMAS","Investicinis gyvybės draudimas","100.00","EUR","D","2024021209012345","MK","","","",
"LT444555666777888999","20","2024-02-15","MINDAUGAS KAZLAUSKAS","Transporto išlaidos","45.00","EUR","D","2024021500123456","MK","","","",
"LT444555666777888999","20","2024-02-17","UAB KONFERENCIJŲ CENTRAS","Renginių organizavimas","750.00","EUR","D","2024021701234567","MK","","","",
"LT444555666777888999","20","2024-02-20","UAB LOGISTIKOS SPRENDIMAI","Logistikos paslaugos","180.00","EUR","D","2024022002345678","MK","","","",
"LT444555666777888999","20","2024-02-22","UAB PROJEKTŲ VALDYMAS","Projektų valdymo konsultacijos","2500.00","EUR","K","2024022203456789","MK","","","",
"LT444555666777888999","20","2024-02-25","UAB MOKYMŲ AKADEMIJA","Personalų mokymai","320.00","EUR","D","2024022504567890","MK","","","",
"LT444555666777888999","20","2024-02-28","LINA PETRAUSKIENĖ","Administracinės paslaugos","250.00","EUR","D","2024022805678901","MK","","","",
"LT444555666777888999","20","2024-03-01","NORDEA BANKAS","Paskolos grąžinimas","500.00","EUR","D","2024030106789012","MK","","","",
"LT444555666777888999","20","2024-03-04","SODRA","Socialinio draudimo įmokos","289.75","EUR","D","2024030407890123","MK","","","",
"LT444555666777888999","20","2024-03-06","UAB KORPORATYVINIAI SUSITIKIMAI","Konferencijos organizavimas","975.00","EUR","D","2024030608901234","MK","","","",
"LT444555666777888999","20","2024-03-09","UAB ARCHITEKTŪROS SPRENDIMAI","Projektavimo darbai","3500.00","EUR","K","2024030909012345","MK","","","",
"LT444555666777888999","20","2024-03-12","UAB SKAITMENINIAI SPRENDIMAI","IT infrastruktūra","450.00","EUR","D","2024031200123456","MK","","","",
"LT444555666777888999","20","2024-03-15","UAB PERSONALO VALDYMAS","Darbuotojų atranka","350.00","EUR","D","2024031501234567","MK","","","",
"LT444555666777888999","20","2024-03-18","VMI","PVM mokestis","630.25","EUR","D","2024031802345678","MK","","","",
"LT444555666777888999","20","2024-03-20","UAB STATYBOS VALDYMAS","Statybos projektas","5000.00","EUR","K","2024032003456789","MK","","","",
"LT444555666777888999","20","2024-03-23","UAB VERSLO KONSULTANTAI","Verslo analizė","395.00","EUR","D","2024032304567890","MK","","","",
"LT444555666777888999","20","2024-03-25","JONAS PAULAUSKAS","Teisinės konsultacijos","300.00","EUR","D","2024032505678901","MK","","","",
"LT444555666777888999","20","2024-03-28","UAB INTERNETO PASLAUGOS","Serverių priežiūra","175.00","EUR","D","2024032806789012","MK","","","",
"LT444555666777888999","20","2024-03-30","UAB PROJEKTŲ FINANSAVIMAS","Projekto įgyvendinimas","2800.00","EUR","K","2024033007890123","MK","","","",
"LT444555666777888999","82","2024-12-31","","Apyvarta","10490.89","EUR","D","","K2","","",
